일자,총자외선지수 일최고값,
2021-01-01,1.80,
2021-01-02,1.90,
2021-01-03,1.80,
2021-01-04,1.70,
2021-01-05,1.90,
2021-01-06,2.00,
2021-01-07,2.10,
2021-01-08,,
2021-01-09,1.80,
2021-01-10,1.90,
2021-01-11,1.30,
2021-01-12,1.50,
2021-01-13,1.50,
2021-01-14,1.70,
2021-01-15,0.80,
2021-01-16,2.00,
2021-01-17,2.10,
2021-01-18,1.10,
2021-01-19,2.60,
2021-01-20,2.40,
2021-01-21,1.90,
2021-01-22,1.00,
2021-01-23,2.60,
2021-01-24,2.60,
2021-01-25,2.50,
2021-01-26,1.30,
2021-01-27,2.60,
2021-01-28,2.00,
2021-01-29,2.20,
2021-01-30,2.40,
2021-01-31,2.70,
2021-02-01,2.20,
2021-02-02,2.70,
2021-02-03,2.30,
2021-02-04,3.00,
2021-02-05,2.50,
2021-02-06,1.40,
2021-02-07,2.60,
2021-02-08,3.30,
2021-02-09,2.90,
2021-02-10,2.00,
2021-02-11,3.20,
2021-02-12,3.10,
2021-02-13,2.90,
2021-02-14,2.20,
2021-02-15,2.60,
2021-02-16,1.70,
2021-02-17,2.80,
2021-02-18,3.10,
2021-02-19,2.90,
2021-02-20,3.30,
2021-02-21,3.20,
2021-02-22,3.30,
2021-02-23,3.60,
2021-02-24,3.90,
2021-02-25,1.80,
2021-02-26,3.90,
2021-02-27,3.90,
2021-02-28,2.10,
2021-03-01,0.60,
2021-03-02,4.30,
2021-03-03,3.90,
2021-03-04,3.40,
2021-03-05,4.20,
2021-03-06,3.80,
2021-03-07,4.40,
2021-03-08,4.70,
2021-03-09,3.90,
2021-03-10,4.50,
2021-03-11,3.90,
2021-03-12,2.80,
2021-03-13,,
2021-03-14,,
2021-03-15,,
2021-03-16,,
2021-03-17,5.20,
2021-03-18,4.70,
2021-03-19,4.70,
2021-03-20,1.00,
2021-03-21,4.70,
2021-03-22,4.30,
2021-03-23,4.70,
2021-03-24,4.90,
2021-03-25,4.30,
2021-03-26,4.30,
2021-03-27,2.10,
2021-03-28,1.70,
2021-03-29,4.60,
2021-03-30,5.30,
2021-03-31,5.90,
2021-04-01,5.30,
2021-04-02,5.90,
2021-04-03,0.90,
2021-04-04,7.20,
2021-04-05,6.80,
2021-04-06,5.70,
2021-04-07,6.00,
2021-04-08,6.10,
2021-04-09,5.90,
2021-04-10,5.20,
2021-04-11,5.50,
2021-04-12,2.80,
2021-04-13,6.80,
2021-04-14,6.10,
2021-04-15,6.60,
2021-04-16,4.80,
2021-04-17,4.40,
2021-04-18,6.50,
2021-04-19,5.80,
2021-04-20,6.00,
2021-04-21,6.20,
2021-04-22,5.70,
2021-04-23,5.00,
2021-04-24,5.90,
2021-04-25,7.50,
2021-04-26,6.50,
2021-04-27,5.10,
2021-04-28,5.10,
2021-04-29,4.70,
2021-04-30,5.60,
2021-05-01,6.50,
2021-05-02,6.30,
2021-05-03,7.30,
2021-05-04,3.20,
2021-05-05,8.00,
2021-05-06,6.60,
2021-05-07,5.90,
2021-05-08,6.00,
2021-05-09,7.70,
2021-05-10,1.60,
