date,AOD,AOD_scaled,황사_가능성
2015-02-15,383.47314877310583,0.38347314877310584,양호
2015-02-16,361.8363758678638,0.3618363758678638,양호
2015-02-17,418.15353476347394,0.41815353476347394,황사
2015-02-18,458.03407042107744,0.45803407042107747,황사
2015-02-19,442.2369181992785,0.44223691819927846,황사
2015-02-20,353.80558260354235,0.35380558260354233,양호
2015-02-21,368.2278077143845,0.3682278077143845,양호
2015-02-22,334.9176117500325,0.33491761175003254,양호
2015-02-23,294.0503613621251,0.2940503613621251,양호
2015-02-24,318.7152630954082,0.3187152630954082,양호
2015-02-25,342.81850362725396,0.34281850362725397,양호
2015-02-26,390.1113654204949,0.3901113654204949,양호
2015-02-27,417.0024592423201,0.41700245924232016,황사
2015-02-28,395.5104514150354,0.3955104514150354,양호
2015-03-01,338.4652216171828,0.3384652216171828,양호
2015-03-02,338.8584626245381,0.3388584626245381,양호
2015-03-03,284.40688940573534,0.28440688940573533,양호
2015-03-04,293.00363476255814,0.29300363476255814,양호
2015-03-05,342.1182083540324,0.3421182083540324,양호
2015-03-06,356.2998849216136,0.35629988492161363,양호
2015-03-07,401.9223137805742,0.4019223137805742,황사
2015-03-08,359.0376367455712,0.3590376367455712,양호
2015-03-09,410.4660709266176,0.4104660709266176,황사
2015-03-10,434.0616746336037,0.4340616746336037,황사
2015-03-11,386.36818831819784,0.38636818831819786,양호
2015-03-12,421.6549065348885,0.4216549065348885,황사
2015-03-13,507.997165159113,0.5079971651591131,황사
2015-03-14,574.789190223792,0.574789190223792,황사
2015-03-15,436.7083176512137,0.4367083176512137,황사
2015-03-16,471.00516178458327,0.4710051617845833,황사
2015-03-17,435.8691391417904,0.43586913914179043,황사
2015-03-18,452.8121464449985,0.4528121464449985,황사
2015-03-19,399.7885578460454,0.39978855784604544,양호
2015-03-20,350.5948481392343,0.3505948481392343,양호
2015-03-21,428.5576421397181,0.4285576421397181,황사
2015-03-22,374.78699764228463,0.3747869976422846,양호
2015-03-23,334.54817832415387,0.3345481783241539,양호
2015-03-24,329.84872150342835,0.32984872150342837,양호
2015-03-25,396.32831454397825,0.39632831454397827,양호
2015-03-26,452.7042591348225,0.45270425913482254,황사
2015-03-27,412.7942367029556,0.41279423670295556,황사
2015-03-28,421.5309584770224,0.42153095847702243,황사
2015-03-29,392.5478504768489,0.3925478504768489,양호
2015-03-30,467.01346638873537,0.46701346638873537,황사
2015-03-31,513.5171756151943,0.5135171756151944,황사
2015-04-01,589.2180911279723,0.5892180911279724,황사
2015-04-02,463.1350858648037,0.46313508586480373,황사
2015-04-03,457.777028961383,0.457777028961383,황사
2015-04-04,456.15944258014554,0.45615944258014557,황사
2015-04-05,452.83891937974096,0.45283891937974097,황사
2015-04-06,489.62539917925005,0.4896253991792501,황사
2015-04-07,379.7590907451849,0.3797590907451849,양호
2015-04-08,410.37239639904794,0.41037239639904793,황사
2015-04-09,452.02996736844136,0.45202996736844137,황사
2015-04-10,422.6849619564093,0.4226849619564093,황사
2015-04-11,396.86010205543727,0.39686010205543726,양호
2015-04-12,296.1976605004503,0.2961976605004503,양호
2015-04-13,353.2628684061247,0.3532628684061247,양호
2015-04-14,428.3310420759228,0.4283310420759228,황사
2015-04-15,394.6849379524152,0.3946849379524152,양호
2015-04-16,382.2721200068771,0.3822721200068771,양호
2015-04-17,421.7545708581025,0.42175457085810253,황사
2015-04-18,398.2143076526455,0.39821430765264554,양호
2015-04-19,359.1036051201749,0.3591036051201749,양호
2015-04-20,397.3684941702969,0.3973684941702969,양호
2015-04-21,401.9389697763314,0.4019389697763314,황사
2015-04-22,394.15991091258934,0.39415991091258934,양호
2015-04-23,326.288254933456,0.32628825493345603,양호
2015-04-24,301.22639667297386,0.30122639667297385,양호
2015-04-25,353.52892873456415,0.35352892873456415,양호
2015-04-26,407.0523093504757,0.4070523093504757,황사
2015-04-27,448.08637114691714,0.44808637114691713,황사
2015-04-28,456.8905948258512,0.45689059482585126,황사
2015-04-29,591.275007937612,0.591275007937612,황사
2015-04-30,472.93330512925235,0.47293330512925236,황사
2015-05-01,363.47452824142846,0.36347452824142845,양호
2015-05-02,345.41954329620813,0.34541954329620816,양호
2015-05-03,314.2079837435017,0.31420798374350173,양호
2015-05-04,307.8607251025096,0.3078607251025096,양호
2015-05-05,326.0729414948616,0.3260729414948616,양호
2015-05-06,395.4940967058268,0.3954940967058268,양호
2015-05-07,388.82897721506646,0.3888289772150665,양호
2015-05-08,350.10058607598074,0.35010058607598077,양호
2015-05-09,298.6045944129245,0.2986045944129245,양호
2015-05-10,299.38349583542015,0.2993834958354202,양호
2015-05-11,368.2325265706598,0.3682325265706598,양호
2015-05-12,336.3220830744631,0.3363220830744631,양호
2015-05-13,288.7683884209907,0.2887683884209907,양호
2015-05-14,289.9295423238507,0.2899295423238507,양호
2015-05-15,298.08993930327404,0.29808993930327404,양호
2015-05-16,330.5589805046805,0.3305589805046805,양호
2015-05-17,350.04517579428176,0.3500451757942818,양호
2015-05-18,340.4763732937047,0.34047637329370467,양호
2015-05-19,319.30054954235334,0.3193005495423533,양호
2015-05-20,303.0012769205285,0.3030012769205285,양호
2015-05-21,273.48459642844824,0.27348459642844825,양호
2015-05-22,327.20942442271473,0.3272094244227147,양호
2015-05-23,373.948976937912,0.373948976937912,양호
2015-05-24,491.5547303531817,0.4915547303531817,황사
2015-05-25,443.02393648741446,0.44302393648741445,황사
2015-05-26,455.8223227142725,0.45582232271427253,황사
2015-05-27,392.6791225639493,0.3926791225639493,양호
2015-05-28,335.5161013557908,0.3355161013557908,양호
2015-05-29,298.7883519828484,0.29878835198284837,양호
2015-05-30,289.53835972775704,0.28953835972775704,양호
2015-05-31,379.8541353723784,0.3798541353723784,양호
2015-06-01,309.77558436852047,0.3097755843685205,양호
2015-06-02,298.80188768155085,0.29880188768155086,양호
2015-06-03,227.72094769311903,0.22772094769311904,양호
2015-06-04,204.52149672198212,0.2045214967219821,양호
2015-06-05,270.8950899276667,0.2708950899276667,양호
2015-06-06,285.4490363200547,0.2854490363200547,양호
2015-06-07,347.617962266645,0.34761796226664504,양호
2015-06-08,304.1180262161355,0.3041180262161355,양호
2015-06-09,342.14614714409674,0.34214614714409675,양호
2015-06-10,314.2979149864329,0.3142979149864329,양호
2015-06-11,333.8268571847321,0.3338268571847321,양호
2015-06-12,338.11615616370284,0.33811615616370283,양호
2015-06-13,284.3171030257827,0.2843171030257827,양호
2015-06-14,276.421677355934,0.276421677355934,양호
2015-06-15,241.76056667795729,0.24176056667795728,양호
2015-06-16,300.4567834327891,0.30045678343278914,양호
2015-06-17,281.0011668477111,0.2810011668477111,양호
2015-06-18,240.6817177102301,0.2406817177102301,양호
2015-06-19,304.365683949546,0.304365683949546,양호
2015-06-20,286.3716181387818,0.2863716181387818,양호
2015-06-21,319.3606957011705,0.31936069570117054,양호
2015-06-22,362.61736597980615,0.36261736597980615,양호
2015-06-23,272.87140838391684,0.2728714083839168,양호
2015-06-24,230.5340756557407,0.23053407565574072,양호
2015-06-25,172.56350466656323,0.17256350466656323,양호
2015-06-26,201.60216923244568,0.20160216923244567,양호
2015-06-27,221.9890857511225,0.2219890857511225,양호
2015-06-28,244.26657283715704,0.24426657283715705,양호
2015-06-29,194.2602755173531,0.19426027551735311,양호
2015-06-30,229.36389681296433,0.22936389681296432,양호
2015-07-01,308.6100559047119,0.3086100559047119,양호
2015-07-02,339.69698341703634,0.33969698341703636,양호
2015-07-03,302.8756471012513,0.30287564710125126,양호
2015-07-04,282.2556056621293,0.2822556056621293,양호
2015-07-05,295.1195792842047,0.2951195792842047,양호
2015-07-06,232.6803753102928,0.2326803753102928,양호
2015-07-07,389.7241310259979,0.3897241310259979,양호
2015-07-08,424.18844084695473,0.42418844084695473,황사
2015-07-09,305.1046166864167,0.3051046166864167,양호
2015-07-10,293.40551949313556,0.29340551949313554,양호
2015-07-11,378.1965583951029,0.3781965583951029,양호
2015-07-12,402.15804831642913,0.40215804831642915,황사
2015-07-13,454.0340157812398,0.4540340157812398,황사
2015-07-14,427.1667529989647,0.42716675299896467,황사
2015-07-15,332.7350622314039,0.3327350622314039,양호
2015-07-16,372.8202721412569,0.3728202721412569,양호
2015-07-17,392.3513655324631,0.3923513655324631,양호
2015-07-18,360.14693900525623,0.36014693900525624,양호
2015-07-19,406.05720596021746,0.4060572059602175,황사
2015-07-20,354.21879300700573,0.35421879300700576,양호
2015-07-21,268.73417464759876,0.26873417464759874,양호
2015-07-22,294.34326949192877,0.2943432694919288,양호
2015-07-23,302.4711458794585,0.3024711458794585,양호
2015-07-24,280.1549303449784,0.2801549303449784,양호
2015-07-25,262.06594695110584,0.26206594695110585,양호
2015-07-26,314.87281024581534,0.31487281024581537,양호
2015-07-27,342.32052253635516,0.34232052253635514,양호
2015-07-28,345.4889448870482,0.34548894488704823,양호
2015-07-29,422.58583030679694,0.422585830306797,황사
2015-07-30,429.57019199791154,0.4295701919979115,황사
2015-07-31,397.87209000644225,0.39787209000644225,양호
2015-08-01,343.95938514581695,0.343959385145817,양호
2015-08-02,215.88318599721995,0.21588318599721995,양호
2015-08-03,214.18760823496245,0.21418760823496247,양호
2015-08-04,230.19363122622255,0.23019363122622255,양호
2015-08-05,245.97906644008177,0.24597906644008177,양호
2015-08-06,289.0902779180642,0.2890902779180642,양호
2015-08-07,331.38832440337666,0.3313883244033767,양호
2015-08-08,369.1192800580991,0.3691192800580991,양호
2015-08-09,457.30401428705454,0.4573040142870545,황사
2015-08-10,429.2411919404952,0.4292411919404952,황사
2015-08-11,308.66955244297003,0.30866955244297006,양호
2015-08-12,269.776866786514,0.269776866786514,양호
2015-08-13,292.93893155911144,0.29293893155911144,양호
2015-08-14,290.8511277832024,0.29085112778320243,양호
2015-08-15,342.7542392747411,0.34275423927474113,양호
2015-08-16,401.6060589531905,0.4016060589531905,황사
2015-08-17,319.0617654593705,0.31906176545937054,양호
2015-08-18,303.9473166193079,0.3039473166193079,양호
2015-08-19,281.3117109300431,0.2813117109300431,양호
2015-08-20,274.19286874581667,0.27419286874581666,양호
2015-08-21,299.83928235053406,0.2998392823505341,양호
2015-08-22,348.4342507165448,0.3484342507165448,양호
2015-08-23,401.0640284701683,0.4010640284701683,황사
2015-08-24,447.2247114214965,0.44722471142149656,황사
2015-08-25,304.830372676338,0.304830372676338,양호
2015-08-26,372.8942402210983,0.3728942402210983,양호
2015-08-27,444.75224640850985,0.44475224640850985,황사
2015-08-28,439.6222994031892,0.4396222994031892,황사
2015-08-29,430.2457828932369,0.4302457828932369,황사
2015-08-30,402.9246277425585,0.40292462774255855,황사
2015-08-31,317.7285612846156,0.3177285612846156,양호
2015-09-01,263.4989464104284,0.2634989464104284,양호
2015-09-02,268.2855650858478,0.2682855650858478,양호
2015-09-03,256.8044542534595,0.2568044542534595,양호
2015-09-04,231.1828583127279,0.2311828583127279,양호
2015-09-05,226.2688531784653,0.2262688531784653,양호
2015-09-06,239.77345656136572,0.23977345656136573,양호
2015-09-07,253.2163675288871,0.2532163675288871,양호
2015-09-08,242.1941939420504,0.24219419394205038,양호
2015-09-09,206.50409283327645,0.20650409283327645,양호
2015-09-10,216.8824675983291,0.2168824675983291,양호
2015-09-11,190.12799906506527,0.19012799906506528,양호
2015-09-12,154.6730123919367,0.1546730123919367,양호
2015-09-13,152.37111481040202,0.15237111481040203,양호
2015-09-14,175.91492099738576,0.17591492099738576,양호
2015-09-15,269.7827974740386,0.2697827974740386,양호
2015-09-16,277.26643409292205,0.27726643409292206,양호
2015-09-17,237.47042335358964,0.23747042335358964,양호
2015-09-18,218.6299273265957,0.2186299273265957,양호
2015-09-19,246.55687550843857,0.24655687550843858,양호
2015-09-20,305.57095438761024,0.3055709543876102,양호
2015-09-21,301.91664224721586,0.30191664224721587,양호
2015-09-22,163.59203012644264,0.16359203012644263,양호
